Industry,Mean,Std
1,0.011787,0.10089
2,0.0027329,0.083574
3,0.0146,0.10435
4,0.0095852,0.10045
5,0.0072825,0.1014
6,0.018147,0.12054
7,0.022651,0.096412
8,0.019675,0.080255
9,0.017057,0.1136
10,0.017552,0.11638
11,0.012388,0.097877
12,0.010819,0.094728
13,0.010444,0.098745
14,0.013891,0.099062
15,0.010541,0.10573
16,0.012396,0.10378
17,0.013139,0.11548
18,0.016574,0.097269
19,0.022643,0.13255
20,0.011867,0.11724
21,0.0082857,0.12633
22,0.016366,0.14734
23,0.0079609,0.12357
24,0.01641,0.11769
25,0.010518,0.08432
26,0.0098952,0.13702
27,0.012791,0.094557
28,0.01209,0.12097
